C,18:04:16.758519,5.03
C,18:04:16.792880,0.03
C,18:04:16.846831,0.05
C,18:04:16.877098,0.03
C,18:04:16.910169,0.03
C,18:04:16.967430,0.06
C,18:04:16.998398,0.03
C,18:04:17.030136,0.03
C,18:04:17.062382,0.03
C,18:04:17.095689,0.03
C,18:04:17.127002,0.03
C,18:04:17.197169,0.07
B,18:04:19.024166,5.03
B,18:04:19.055038,0.03
A,18:04:21.191414,5.64
B,18:04:24.171864,5.12
A,18:04:26.719685,5.53
C,18:04:27.245519,10.05
C,18:04:27.288346,0.04
C,18:04:27.337424,0.05
A,18:04:31.751054,5.03
A,18:04:31.801896,0.05
A,18:04:31.834863,0.03
A,18:04:31.868159,0.03
A,18:04:31.926858,0.06
C,18:04:33.072612,5.74
C,18:04:33.512039,0.44
A,18:04:37.675670,5.75
A,18:04:38.702111,1.03
C,18:04:39.107772,5.60
C,18:04:39.337705,0.23
C,18:04:39.377347,0.04
C,18:04:39.435958,0.06
A,18:04:49.149957,10.45
A,18:04:49.191310,0.04
A,18:04:49.233523,0.04
C,18:04:49.486548,10.05
C,18:04:49.523712,0.04
C,18:04:54.571280,5.05
C,18:04:54.602992,0.03
A,18:04:54.679110,5.45
A,18:05:00.403360,5.72
A,18:05:01.507171,1.10
C,18:05:01.796207,7.19
C,18:05:01.854036,0.06
A,18:05:01.877852,0.37
C,18:05:01.915927,0.06
A,18:05:06.914381,5.04
C,18:05:06.954912,5.04
A,18:05:06.988806,0.07
A,18:05:07.060703,0.07
B,18:05:08.498868,44.33
B,18:05:09.115304,0.62
C,18:05:11.996310,5.04
C,18:05:12.035274,0.04
C,18:05:12.074132,0.04
A,18:05:12.095408,5.03
A,18:05:12.120849,0.03
A,18:05:12.150038,0.03
A,18:05:12.181729,0.03
A,18:05:12.254670,0.07
B,18:05:14.150625,5.04
B,18:05:14.649431,0.50
B,18:05:16.181038,1.53
C,18:05:17.120831,5.05
A,18:05:17.295906,5.04
B,18:05:18.328514,2.15
B,18:05:18.498478,0.17
B,18:05:21.428676,2.93
C,18:05:22.205624,5.08
C,18:05:22.242474,0.04
C,18:05:22.325911,0.08
C,18:05:27.940407,5.61
C,18:05:28.175769,0.24
C,18:05:28.215618,0.04
A,18:05:28.464426,11.17
A,18:05:28.493530,0.03
A,18:05:28.523893,0.03
A,18:05:28.550646,0.03
B,18:05:31.858972,10.43
C,18:05:33.256774,5.04
B,18:05:33.289590,1.43
C,18:05:33.305309,0.05
B,18:05:33.322320,0.03
B,18:05:33.357816,0.04
A,18:05:33.593074,5.04
A,18:05:33.632172,0.04
A,18:05:38.667361,5.04
C,18:05:39.114714,5.81
C,18:05:39.837797,0.72
B,18:05:39.852515,6.49
C,18:05:39.872768,0.03
B,18:05:39.900204,0.05
C,18:05:39.906530,0.03
C,18:05:39.943750,0.04
B,18:05:39.955634,0.06
C,18:05:39.969591,0.03
B,18:05:39.981276,0.03
C,18:05:40.008437,0.04
B,18:05:40.025786,0.04
B,18:05:40.057874,0.03
A,18:05:44.136151,5.47
A,18:05:44.167528,0.03
A,18:05:44.208175,0.04
C,18:05:45.873185,5.86
C,18:05:46.308753,0.44
C,18:05:46.352033,0.04
B,18:05:46.593426,6.54
B,18:05:46.634369,0.04
B,18:05:46.672258,0.04
B,18:05:46.713783,0.04
A,18:05:49.666180,5.46
C,18:05:51.814884,5.46
C,18:05:51.849797,0.03
C,18:05:51.879041,0.03
C,18:05:51.911985,0.03
C,18:05:51.942081,0.03
B,18:05:52.126095,5.41
B,18:05:52.158074,0.03
B,18:05:52.190402,0.03
B,18:05:52.220272,0.03
B,18:05:52.251277,0.03
B,18:05:52.281276,0.03
B,18:05:52.323307,0.04
B,18:05:52.351789,0.03
B,18:05:52.380930,0.03
B,18:05:52.410698,0.03
B,18:05:52.457517,0.05
B,18:05:52.496912,0.04
A,18:05:55.197056,5.53
A,18:05:55.229788,0.03
C,18:05:57.349340,5.41
C,18:05:57.377849,0.03
B,18:05:57.536936,5.04
A,18:06:00.933790,5.70
A,18:06:01.441022,0.51
A,18:06:01.466990,0.03
A,18:06:01.490357,0.02
C,18:06:02.418264,5.04
C,18:06:02.452967,0.03
C,18:06:02.515283,0.06
C,18:06:02.549400,0.03
B,18:06:02.573267,5.04
B,18:06:02.615101,0.04
A,18:06:06.869876,5.38
A,18:06:06.898065,0.03
A,18:06:06.925725,0.03
A,18:06:06.985532,0.06
B,18:06:08.099170,5.48
C,18:06:08.460643,5.91
C,18:06:08.512700,0.05
A,18:06:12.034484,5.05
B,18:06:13.731701,5.63
C,18:06:13.937218,5.42
B,18:06:13.964994,0.23
C,18:06:13.974280,0.04
C,18:06:14.067779,0.09
C,18:06:14.101188,0.03
A,18:06:17.626665,5.59
A,18:06:17.663295,0.04
A,18:06:17.745559,0.08
A,18:06:17.822044,0.08
A,18:06:17.877998,0.06
A,18:06:17.958084,0.08
A,18:06:18.037516,0.08
B,18:06:19.007105,5.04
C,18:06:19.155333,5.05
C,18:06:19.187572,0.03
C,18:06:19.250821,0.06
B,18:06:19.253751,0.25
C,18:06:19.331862,0.08
B,18:06:19.380073,0.13
C,18:06:19.444898,0.11
B,18:06:19.458295,0.08
C,18:06:19.510065,0.07
B,18:06:19.548023,0.09
B,18:06:19.685103,0.14
B,18:06:19.748188,0.06
A,18:06:23.458606,5.42
A,18:06:23.489631,0.03
A,18:06:23.568334,0.08
A,18:06:23.617466,0.05
C,18:06:24.549231,5.04
B,18:06:24.825742,5.08
B,18:06:24.861816,0.04
B,18:06:25.008570,0.15
B,18:06:25.101538,0.09
B,18:06:25.225913,0.12
B,18:06:25.289139,0.06
B,18:06:25.418557,0.13
A,18:06:28.987401,5.37
A,18:06:29.026265,0.04
A,18:06:29.058991,0.03
B,18:06:30.844725,5.43
B,18:06:30.884455,0.04
B,18:06:30.926846,0.04
B,18:06:30.967461,0.04
A,18:06:34.517201,5.46
C,18:06:34.597092,10.05
C,18:06:34.634087,0.04
C,18:06:34.664586,0.03
C,18:06:34.713440,0.05
B,18:06:36.563399,5.60
B,18:06:36.995987,0.43
B,18:06:37.032846,0.04
B,18:06:37.088398,0.06
A,18:06:39.556342,5.04
C,18:06:39.748115,5.03
C,18:06:39.777153,0.03
C,18:06:39.808002,0.03
B,18:06:42.124831,5.04
B,18:06:42.174145,0.05
B,18:06:42.221260,0.05
B,18:06:42.266492,0.05
B,18:06:42.299899,0.03
B,18:06:42.326428,0.03
A,18:06:44.594854,5.04
A,18:06:44.629956,0.04
C,18:06:44.879469,5.07
