99,2920,2883,4204
100,2939,2741,4199
101,2958,2600,4195
102,2977,2458,4191
103,2997,2316,4186
104,3013,2175,4182
105,3030,2571,4178
106,3047,2967,4173
107,3063,3363,4169
108,3080,3759,4165
109,3097,4156,4160
110,3114,3998,4156
111,3130,3841,4151
112,3147,3683,4147
113,3164,3526,4143
114,3180,3368,4138
115,3197,3211,4134
116,3214,3053,4130
117,3231,2896,4125
118,3247,2738,4121
119,3264,2581,4117
120,3281,2424,4147
121,3297,2431,4178
122,3314,2438,4208
123,3331,2445,4239
124,3348,2452,4270
125,3399,2459,4300
126,3451,2418,4331
127,3502,2377,4361
128,3554,2336,4392
129,3605,2295,4423
130,3657,2254,4473
131,3708,2214,4524
132,3760,2213,4575
133,3811,2212,4625
134,3863,2212,4676
135,3663,2211,4727
136,3464,2211,4778
137,3265,2347,4828
138,3065,2483,4879
139,2866,2619,4930
140,2667,2756,4981
141,2654,2892,5008
142,2641,3028,5036
143,2628,3164,5063
144,2616,3301,5091
145,2603,3437,5118
146,2590,3573,5146
147,2578,3709,5124
148,2565,3846,5102
149,2552,4232,5081
150,2540,4618,5059
151,2527,5004,5038
152,2514,5390,5016
153,2502,5776,4995
154,2489,6163,5019
155,2476,6549,5044
156,2464,6935,5069
157,2451,7321,5094
158,2438,7707,5119
159,2426,8094,5097
160,2413,7738,5075
161,2400,7383,5053
162,2388,7028,5031
163,2375,6673,5009
164,2362,6318,5017
165,2350,5963,5025
166,2337,5608,5033
167,2324,5799,5041
168,2312,5991,5049
169,2299,6183,5057
170,2286,6375,5065
171,2274,6567,5073
172,2222,6466,5081
173,2170,6366,5089
174,2119,6266,5098
175,2067,6165,5106
176,2016,6065,5114
177,1964,5965,5122
178,1912,5865,5130
179,1861,5764,5138
180,1809,5664,5146
181,1758,5564,5154
182,1788,5464,5162
183,1818,5363,5170
184,1848,5263,5179
185,1878,5163,5154
186,1908,5063,5129
187,1919,5253,5105
188,1917,5443,5080
189,1916,5633,5056
190,1915,5824,5031
191,1913,6014,5006
192,1912,6204,4982
193,1911,6394,4957
194,1913,6585,4933
195,1916,6775,4919
196,1919,6965,4927
197,1921,7156,4936
198,1924,7097,4945
199,1927,7038,4954
200,1929,6979,4963
201,1932,6920,4972
202,1935,6861,4981
203,1937,6802,4990
204,1940,6743,4999
205,1943,6684,5008
206,1945,6625,5016
207,1948,6566,5024
208,1951,6507,5032
209,1954,6448,5040
210,1953,6389,5048
211,1953,6331,5057
212,1953,6272,5049
213,1952,6213,5042
214,1952,6154,5035
215,1952,6095,5028
216,1952,6036,5021
217,1951,5977,5014
218,1951,5918,5012
219,1951,5859,5011
220,1950,5800,5010
221,1950,5741,5009
222,1950,5682,5008
223,1950,5623,5006
224,1949,5564,5005
225,1949,5506,5004
226,1949,5447,5003
227,1949,5388,5002
228,1946,5329,5002
229,1943,5270,5002
230,1940,5211,5002
231,1937,5152,5002
232,1934,5093,5002
233,1932,5034,5005
234,1929,4975,5008
235,1926,4916,5011
236,1923,4857,5015
237,1920,4798,5018
238,1917,4739,5021
239,1915,4681,5025
240,1914,4622,5024
241,1913,4563,5023
242,1913,4504,5022
243,1912,4445,5021
244,1912,4386,5020
245,1920,4327,5019
246,1929,4268,5018
247,1937,4209,5017
248,1946,4150,5016
249,1954,4091,5015
250,1963,4032,5014
251,1961,3973,5015
252,1959,3915,5017
253,1958,4371,5018
254,1956,4828,5020
255,1954,5284,5022
256,1953,5741,5023
257,1951,5630,5025
258,1950,5520,5026
259,1948,5409,5028
260,1946,5299,5030
261,1945,5188,5030
262,1943,5078,5030
263,1941,4967,5031
264,1940,4857,5031
265,1938,4746,5031
266,1937,4636,5032
267,1937,4525,5033
268,1937,4415,5035
269,1938,4304,5037
270,1938,4194,5039
271,1939,4084,5041
272,1939,4076,5037
273,1940,4069,5033
274,1940,4062,5029
275,1941,4055,5025
276,1942,4048,5021
277,1942,4041,5018
278,1943,4054,5017
279,1944,4031,5016
280,1944,4009,5015
281,1945,3987,5015
282,1946,3965,5014
283,1948,3943,5013
284,1950,3921,5013
285,1952,3949,5006
286,1954,3977,4999
287,1956,4005,4992
288,1958,4033,4985
289,1960,4061,4978
290,1962,4090,4984
291,1964,4084,4991
292,1966,4078,4998
293,1969,4072,5004
294,1963,4066,5011
295,1958,4060,5018
296,1952,4054,5017
297,1947,4048,5017
298,1941,4042,5016
299,1936,4036,5016
300,1919,4030,5016
301,1903,4014,4929
302,1886,3999,4842
303,1870,3983,4756
304,1854,3968,4669
305,1854,3952,4582
306,1854,3937,4496
307,1854,3921,4587
308,1854,3906,4679
309,1854,3890,4771
310,1855,3875,4863
311,1855,3860,4955
312,1855,4017,4987
313,1855,4175,4978
314,1855,4333,4969
315,1856,4491,4961
316,1855,4649,4952
317,1855,4807,4944
318,1855,4573,4942
319,1854,4339,4940
320,1854,4106,4939
321,1854,3872,4937
322,1856,3639,4936
323,1858,4123,4934
324,1860,4056,4932
325,1862,3990,4931
326,1864,3924,4929
327,1866,3858,4928
328,1863,3792,4926
329,1860,3760,4924
330,1857,3728,4923
331,1854,3697,4921
332,1851,3665,4920
333,1848,3633,4923
334,1845,3602,4927
335,1842,3663,4931
336,1839,3681,4935
337,1836,3699,4939
338,1833,3718,4937
339,1830,3736,4936
340,1827,3755,4935
341,1824,3747,4934
342,1821,3740,4933
343,1815,3733,4932
344,1809,3726,4932
345,1803,3719,4931
346,1797,3711,4931
347,1791,3704,4930
348,1790,3697,4930
349,1790,3690,4930
350,1789,3683,4930
351,1789,3675,4931
352,1788,3668,4931
353,1788,3661,4932
354,1787,3654,4932
355,1787,3647,4933
356,1787,3675,4933
357,1787,3703,4934
358,1787,3731,4934
359,1788,3759,4935
360,1789,3787,4935
361,1790,3816,4936
362,1791,3844,4936
363,1792,3872,4937
364,1793,3900,4937
365,1794,3928,4938
366,1795,3957,4936
367,1796,3909,4934
368,1797,3862,4933
369,1794,3815,4931
370,1792,3768,4930
371,1790,3721,4929
372,1788,3674,4929
373,1786,3627,4928
374,1789,3648,4928
375,1792,3670,4928
376,1796,3692,4929
377,1799,3714,4930
378,1803,3736,4931
379,1806,3769,4932
380,1809,3802,4933
381,1813,3835,4934
382,1816,3868,4935
383,1820,3901,4936
384,1823,3934,4937
385,1827,3967,4938
386,1830,4000,4935
387,1833,4033,4932
388,1837,4066,4930
389,1840,4099,4927
390,1844,4090,4924
391,1847,4081,4922
392,1850,4072,4920
393,1854,4063,4919
394,1857,4054,4918
395,1861,4045,4917
396,1864,4036,4916
397,1868,4027,4915
398,1871,4018,4914
399,1874,4009,4913
400,1878,4000,4911
401,1881,3991,4910
402,1885,3982,4909
403,1888,3973,4908
404,1892,3964,4907
405,1886,3955,4906
406,1881,3946,4905
407,1876,3937,4904
408,1871,3928,4911
409,1866,3919,4918
410,1860,3911,4925
411,1855,3861,4932
412,1850,3811,4939
413,1845,3762,4946
414,1840,3712,4953
415,1844,3662,4960
